symbol,group,name
ADVANC,SET50,
AOT,SET50,
AWC,SET50,
BANPU,SET50,
BBL,SET50,
BCP,SET50,
BDMS,SET50,
BEM,SET50,
BGRIM,SET50,
BH,SET50,
BTS,SET50,
CBG,SET50,
CENTEL,SET50,
CPALL,SET50,
CPAXT,SET50,
CPF,SET50,
CPN,SET50,
CRC,SET50,
DELTA,SET50,
EA,SET50,
GLOBAL,SET50,
GPSC,SET50,
GULF,SET50,
HMPRO,SET50,
IVL,SET50,
KBANK,SET50,
KCE,SET50,
KTB,SET50,
KTC,SET50,
LH,SET50,
MINT,SET50,
MTC,SET50,
OR,SET50,
OSP,SET50,
PTT,SET50,
PTTEP,SET50,
PTTGC,SET50,
RATCH,SET50,
SAWAD,SET50,
SCB,SET50,
SCC,SET50,
SCGP,SET50,
TIDLOR,SET50,
TISCO,SET50,
TLI,SET50,
TOP,SET50,
TRUE,SET50,
TTB,SET50,
TU,SET50,
WHA,SET50,
AAV,SET100,
ADVANC,SET100,
AMATA,SET100,
AOT,SET100,
AWC,SET100,
BA,SET100,
BAM,SET100,
BANPU,SET100,
BBL,SET100,
BCH,SET100,
BCP,SET100,
BCPG,SET100,
BDMS,SET100,
BEM,SET100,
BGRIM,SET100,
BH,SET100,
BJC,SET100,
BLA,SET100,
BTS,SET100,
CBG,SET100,
CENTEL,SET100,
CHG,SET100,
CK,SET100,
CKP,SET100,
COM7,SET100,
CPALL,SET100,
CPAXT,SET100,
CPF,SET100,
CPN,SET100,
CRC,SET100,
DELTA,SET100,
DOHOME,SET100,
EA,SET100,
EGCO,SET100,
ERW,SET100,
GFPT,SET100,
GLOBAL,SET100,
GPSC,SET100,
GULF,SET100,
GUNKUL,SET100,
HANA,SET100,
HMPRO,SET100,
ICHI,SET100,
IRPC,SET100,
ITC,SET100,
IVL,SET100,
JMART,SET100,
JMT,SET100,
KBANK,SET100,
KCE,SET100,
KKP,SET100,
KTB,SET100,
KTC,SET100,
LH,SET100,
M,SET100,
MEGA,SET100,
MINT,SET100,
MTC,SET100,
OR,SET100,
OSP,SET100,
PLANB,SET100,
PRM,SET100,
PSL,SET100,
PTG,SET100,
PTT,SET100,
PTTEP,SET100,
PTTGC,SET100,
QH,SET100,
RATCH,SET100,
RCL,SET100,
SAWAD,SET100,
SCB,SET100,
SCC,SET100,
SCCC,SET100,
SCGP,SET100,
SIRI,SET100,
SJWD,SET100,
SNNP,SET100,
SPALI,SET100,
SPRC,SET100,
STA,SET100,
STEC,SET100,
STGT,SET100,
SUPER,SET100,
TASCO,SET100,
TCAP,SET100,
TIDLOR,SET100,
TIPH,SET100,
TISCO,SET100,
TLI,SET100,
TOA,SET100,
TOP,SET100,
TQM,SET100,
TRUE,SET100,
TTB,SET100,
TTW,SET100,
TU,SET100,
TVO,SET100,
VGI,SET100,
WHA,SET100,
WHAUP,SET100,
APP,mai,
ARIN,mai,
AU,mai,
D,mai,
DOD,mai,
EASON,mai,
ECF,mai,
ETC,mai,
GTV,mai,
ICN,mai,
INSET,mai,
JUBILE,mai,
KUMWEL,mai,
KWM,mai,
MOONG,mai,
MVP,mai,
NCL,mai,
NETBAY,mai,
PIS,mai,
PPS,mai,
PROEN,mai,
PROS,mai,
READY,mai,
RT,mai,
SAV,mai,
SIMAT,mai,
SORKON,mai,
STC,mai,
TIGER,mai,
TM,mai,
TPS,mai,
UEC,mai,
UREKA,mai,
XPG,mai,
YGG,mai,
ZIGA,mai,
AAPL,US,
ADBE,US,
AMD,US,
AMZN,US,
AVGO,US,
BA,US,
BAC,US,
COIN,US,
COST,US,
CRM,US,
CSCO,US,
DIS,US,
GOOGL,US,
INTC,US,
JNJ,US,
JPM,US,
KO,US,
LLY,US,
MA,US,
META,US,
MSFT,US,
MSTR,US,
NFLX,US,
NVDA,US,
ORCL,US,
PEP,US,
PG,US,
PLTR,US,
QCOM,US,
QQQ,US,
SPY,US,
TSLA,US,
UBER,US,
UNH,US,
V,US,
WMT,US,
XOM,US,
ADA-USD,Crypto,
ATOM-USD,Crypto,
AVAX-USD,Crypto,
BNB-USD,Crypto,
BTC-USD,Crypto,
DOGE-USD,Crypto,
DOT-USD,Crypto,
ETH-USD,Crypto,
LINK-USD,Crypto,
LTC-USD,Crypto,
NEAR-USD,Crypto,
SHIB-USD,Crypto,
SOL-USD,Crypto,
TRX-USD,Crypto,
XRP-USD,Crypto,
GC=F,Commodity,ทองคำ
SI=F,Commodity,เงิน
PL=F,Commodity,แพลทินัม
PA=F,Commodity,แพลเลเดียม
HG=F,Commodity,ทองแดง
CL=F,Commodity,น้ำมันดิบ WTI
BZ=F,Commodity,น้ำมันดิบ Brent
NG=F,Commodity,ก๊าซธรรมชาติ
RB=F,Commodity,น้ำมันเบนซิน
HO=F,Commodity,น้ำมันดีเซล
ZC=F,Commodity,ข้าวโพด
ZS=F,Commodity,ถั่วเหลือง
ZW=F,Commodity,ข้าวสาลี
KC=F,Commodity,กาแฟ
SB=F,Commodity,น้ำตาล
CT=F,Commodity,ฝ้าย
CC=F,Commodity,โกโก้
LE=F,Commodity,โคมีชีวิต
^SET.BK,Index,SET ไทย
^GSPC,Index,S&P 500
^DJI,Index,ดาวโจนส์
^IXIC,Index,แนสแด็ก
^NDX,Index,แนสแด็ก 100
^RUT,Index,รัสเซล 2000
^VIX,Index,ดัชนีความผันผวน
^N225,Index,นิกเกอิ ญี่ปุ่น
^HSI,Index,ฮั่งเส็ง ฮ่องกง
^KS11,Index,คอสปี้ เกาหลี
^TWII,Index,ไต้หวัน
^STI,Index,สิงคโปร์
000001.SS,Index,เซี่ยงไฮ้
^JKSE,Index,อินโดนีเซีย
^KLSE,Index,มาเลเซีย
^BSESN,Index,เซนเซ็กซ์ อินเดีย
^NSEI,Index,นิฟตี้ อินเดีย
^AXJO,Index,ออสเตรเลีย
^FTSE,Index,ฟุตซี่ อังกฤษ
^GDAXI,Index,แดกซ์ เยอรมนี
^FCHI,Index,ฝรั่งเศส
^STOXX50E,Index,ยูโรสต็อกซ์ 50
TLT,Bond,พันธบัตรสหรัฐ 20 ปีขึ้นไป
IEF,Bond,พันธบัตรสหรัฐ 7-10 ปี
SHY,Bond,พันธบัตรสหรัฐ 1-3 ปี
AGG,Bond,ตราสารหนี้สหรัฐรวมตลาด
BND,Bond,ตราสารหนี้สหรัฐรวมตลาด (Vanguard)
